,imageNet_class,y_validation
772,safety pin,['food']
776,"sax, saxophone","['musicgenre', 'personfunction']"
777,scabbard,"['country', 'island']"
778,"scale, weighing machine",['device']
780,schooner,['ship']
781,scoreboard,['organisation']
783,screw,"['organisation', 'sport']"
784,screwdriver,['software']
785,"seat belt, seatbelt",['device']
787,"shield, buckler",['device']
788,"shoe shop, shoe-shop, shoe store","['election', 'personfunction']"
792,shovel,['settlement']
793,shower cap,['fashion']
794,shower curtain,['settlement']
795,ski,['album']
798,"slide rule, slipstick",['musicgenre']
799,sliding door,['automobile']
800,"slot, one-armed bandit",['supremecourtoftheunitedstatescase']
801,snorkel,['company']
802,snowmobile,['meanoftransportation']
803,"snowplow, snowplough",['device']
804,soap dispenser,['device']
805,soccer ball,['food']
807,"solar dish, solar collector, solar furnace","['place', 'building']"
808,sombrero,"['film', 'work']"
810,space bar,['musicalwork']
812,space shuttle,"['meanoftransportation', 'rocket']"
814,speedboat,"['ship', 'musicgenre']"
815,"spider web, spider's web",['device']
818,"spotlight, spot",['musicgenre']
819,stage,['artificialsatellite']
820,steam locomotive,"['locomotive', 'train']"
821,steel arch bridge,['bridge']
822,steel drum,"['agent', 'musicgenre']"
823,stethoscope,['device']
829,"streetcar, tram, tramcar, trolley, trolley car","['meanoftransportation', 'work']"
832,"stupa, tope",['building']
833,"submarine, pigboat, sub, U-boat","['film', 'ship', 'work', 'musicgenre', 'star', 'ship', 'musicgenre']"
835,sundial,['device']
837,"sunglasses, dark glasses, shades","['film', 'work']"
839,suspension bridge,['bridge']
842,"swimming trunks, bathing trunks",['company']
843,swing,['album']
844,"switch, electric switch, electrical switch","['personfunction', 'militaryunit']"
845,syringe,"['chemicalcompound', 'drug']"
846,table lamp,['device']
847,"tank, army tank, armored combat vehicle, armoured combat vehicle","['militaryunit', 'militaryunit', 'meanoftransportation']"
849,teapot,['ship']
851,"television, television system",['personfunction']
853,"thatch, thatched roof","['ship', 'racehorse']"
854,"theater curtain, theatre curtain","['building', 'theatre', 'venue', 'architecturalstructure']"
855,thimble,['organisation']
856,"thresher, thrasher, threshing machine","['band', 'animal', 'eukaryote', 'species', 'bird', 'person']"
860,"tobacco shop, tobacconist shop, tobacconist","['company', 'personfunction']"
861,toilet seat,['organisation']
863,totem pole,['artwork']
864,"tow truck, tow car, wrecker",['automobile']
865,toyshop,['company']
867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, sem,","['drug', 'musicgenre']"
869,trench coat,['disease']
870,"tricycle, trike, velocipede","['meanoftransportation', 'musicgenre', 'meanoftransportation']"
871,trimaran,['ship']
873,triumphal arch,['building']
874,"trolleybus, trolley coach, trackless trolley",['automobile']
875,trombone,"['personfunction', 'agent']"
878,typewriter keyboard,['software']
879,umbrella,['artwork']
880,"unicycle, monocycle","['meanoftransportation', 'musicgenre']"
881,"upright, upright piano","['personfunction', 'agent']"
882,"vacuum, vacuum cleaner","['person', 'device']"
885,velvet,['agent']
886,vending machine,['software']
888,viaduct,['bridge']
889,"violin, fiddle",['populatedplace']
890,volleyball,['activity']
892,wall clock,['agent']
893,"wallet, billfold, notecase, pocketbook","['agent', 'musicgenre', 'supremecourtoftheunitedstatescase', 'software', 'work', 'company', 'publisher', 'organisation']"
894,"wardrobe, closet, press",['person']
895,"warplane, military plane","['place', 'musicgenre']"
896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin","['agent', 'device']"
897,"washer, automatic washer, washing machine","['chemicalcompound', 'software']"
898,water bottle,['company']
901,whiskey jug,['company']
902,whistle,['colour']
903,wig,['election']
905,window shade,['anatomicalstructure']
906,Windsor tie,['software']
907,wine bottle,['company']
908,wing,['work']
911,"wool, woolen, woollen","['personfunction', 'anatomicalstructure', 'company']"
912,"worm fence, snake fence, snake-rail fence, Virginia fence","['person', 'building']"
916,"web site, website, internet site, site",['musicgenre']
918,"crossword puzzle, crossword",['videogame']
919,street sign,['radiostation']
920,"traffic light, traffic signal, stoplight","['device', 'radiostation']"
921,"book jacket, dust cover, dust jacket, dust wrapper",['single']
924,guacamole,['food']
926,"hot pot, hotpot",['food']
928,"ice cream, icecream",['food']
929,"ice lolly, lolly, lollipop, popsicle",['company']
931,"bagel, beigel","['place', 'location', 'settlement', 'country', 'populatedplace']"
932,pretzel,"['software', 'food']"
933,cheeseburger,['food']
934,"hotdog, hot dog, red hot","['food', 'band', 'organisation']"
935,mashed potato,['food']
936,head cabbage,"['cultivatedvariety', 'food', 'plant', 'eukaryote', 'species']"
937,broccoli,"['cultivatedvariety', 'plant', 'eukaryote', 'species']"
938,cauliflower,"['cultivatedvariety', 'food', 'plant', 'eukaryote', 'species']"
939,"zucchini, courgette","['cultivatedvariety', 'plant', 'eukaryote', 'species', 'ship']"
940,spaghetti squash,"['band', 'cultivatedvariety', 'plant', 'eukaryote', 'species']"
941,acorn squash,"['cultivatedvariety', 'plant', 'eukaryote', 'species']"
942,butternut squash,"['cultivatedvariety', 'plant', 'eukaryote', 'species']"
943,"cucumber, cuke",['plant']
944,"artichoke, globe artichoke","['plant', 'grape']"
946,cardoon,['musicgenre']
949,strawberry,['insect']
953,"pineapple, ananas",['plant']
954,banana,"['place', 'location', 'musicalartist', 'country', 'populatedplace']"
955,"jackfruit, jak, jack","['insect', 'plant', 'mammal', 'anatomicalstructure']"
957,pomegranate,"['insect', 'plant']"
958,hay,['musicgenre']
959,carbonara,['food']
960,"chocolate sauce, chocolate syrup",['food']
962,"meat loaf, meatloaf",['food']
963,"pizza, pizza pie",['food']
965,burrito,['food']
967,espresso,"['magazine', 'writtenwork', 'periodicalliterature', 'work']"
968,cup,['company']
970,alp,"['place', 'location', 'mountain', 'naturalplace', 'mountainrange']"
971,bubble,"['book', 'musicgenre']"
975,"lakeside, lakeshore","['company', 'organisation']"
976,"promontory, headland, head, foreland",['place']
977,"sandbar, sand bar",['place']
978,"seashore, coast, seacoast, sea-coast","['venue', 'governmentagency', 'settlement', 'place']"
979,"valley, vale","['place', 'river']"
980,volcano,"['disease', 'recordlabel']"
981,"ballplayer, baseball player",['activity']
982,"groom, bridegroom",['person']
983,scuba diver,"['personfunction', 'single']"
984,rapeseed,"['person', 'plant']"
985,daisy,['organisation']
986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripium parviflorum"",","['plant', 'person', 'plant']"
988,acorn,['plant']
989,"hip, rose hip, rosehip",['plant']
990,"buckeye, horse chestnut, conker","['plant', 'insect', 'fish']"
991,coral fungus,['band']
993,gyromitra,"['plant', 'fungus']"
996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa","['eukaryote', 'fungus', 'species']"
998,"ear, spike, capitulum",['person']
999,"toilet tissue, toilet paper, bathroom tissue",['software']
